time,variable,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,qc_value,local_moran_i,p_value_two_sided,hotspot_label
2024-12-31 01:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,58.46090871637518,0.4485,0.55,non_significant
2024-12-31 01:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.9972731850364,-0.083,0.55,non_significant
2024-12-31 01:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,57.63454506613992,-0.4931,0.35,non_significant
2024-12-31 01:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,27.3695330619812,0.0413,0.95,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,1.5200032778084278,-0.1545,0.6,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,58.26000005548651,-0.0028,0.95,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,16.844925085703533,-0.2503,0.4,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,1.0,-0.9702,0.1,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,55.47000007629394,0.0267,0.95,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,49.25181891701438,-0.5693,0.15,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,2.2084164917469025,0.1351,0.6,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,58.417272394353695,0.4673,0.3,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.87636427445845,-0.0961,0.75,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,56.63299980163574,-0.4918,0.15,non_significant
2024-12-31 02:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,26.44599231084188,0.044,0.85,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,1.5222531020641328,-0.1891,0.6,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,58.30200004577637,-0.0118,1.0,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,17.11008175936612,-0.2157,0.55,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,1.0,-0.9617,0.1,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,51.79363632202149,0.0524,0.8,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,46.802500089009605,-0.5121,0.25,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,1.7095067663626238,0.1864,0.55,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,58.45090935446999,0.4842,0.4,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.33899955749512,-0.1044,0.65,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,56.52727300470526,-0.4953,0.2,non_significant
2024-12-31 03:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,26.010904947916668,0.036,0.8,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,2.29567481035536,-0.2098,0.75,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,58.3260009765625,-0.0038,1.0,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,22.32622496287028,-0.1115,0.75,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,1.0,-0.9603,0.05,LH
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,46.482222663031685,0.0868,0.7,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,43.49999961853028,-0.3961,0.4,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,1.9663978318373363,0.241,0.5,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,58.475454503839664,0.4699,0.15,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.66272700916637,-0.1335,0.7,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,56.83999911221591,-0.5316,0.3,non_significant
2024-12-31 04:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,25.676279703776043,0.0337,0.75,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,9.31124587059021,-0.1442,0.6,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,58.40181766856801,-0.0213,0.9,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,21.35130802790324,-0.1596,0.65,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,2.351005099036477,-1.0348,0.05,LH
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,52.09799957275391,0.046,0.8,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,46.97999954223633,-0.5168,0.15,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,1.7594451407591505,0.227,0.55,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,58.40727337923917,0.4557,0.25,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.96000022888184,-0.0914,0.75,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,57.44599952697754,-0.4738,0.3,non_significant
2024-12-31 05:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,28.44190247853597,0.0248,0.85,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,17.409148693084717,-0.0919,0.7,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,58.370908910577946,-0.0226,0.9,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,23.385890787298028,-0.1802,0.65,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,5.293127914269765,-1.1096,0.05,LH
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,57.93899917602539,-0.0167,0.9,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,50.638182553378016,-0.6409,0.1,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,2.633112061023712,0.1742,0.45,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,57.67800025939941,0.4131,0.25,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.994000625610354,-0.0151,0.75,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,57.91111077202691,-0.4028,0.35,non_significant
2024-12-31 06:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,33.42681153615316,0.014,0.85,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,14.753929805755616,-0.1227,0.5,non_significant
