variable,reference_variable,lag_hours,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,traffic_association_count,traffic_association_mode,traffic_association_max_distance_m,traffic_association_ids,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf52a,AQPMN2G 01,37.642688751,-1.09544003,1,nearest_fallback,9889.0,anprFlowObserved:12,LH,4.51,83,25,0,0,58,85.32,5.47,317,-0.0683,0.4811,2.04,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,LL,4.49,97,0,93,0,4,100.0,19.27,0,0.7743,0.3748,1.9,#1d4ed8
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,LL,4.45,96,0,89,0,7,100.0,19.41,0,0.7736,0.3761,2.04,#1d4ed8
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf52a,AQPMN2G 01,37.642688751,-1.09544003,1,nearest_fallback,9889.0,anprFlowObserved:12,LH,4.45,82,25,0,0,57,85.32,5.47,317,-0.0766,0.4773,2.03,#7c3aed
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,LL,4.35,94,0,88,0,6,100.0,19.36,0,0.7745,0.3778,2.03,#1d4ed8
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,HL,4.27,91,2,13,75,1,98.61,18.85,30,-0.1332,0.3733,2.04,#ea580c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf52a,AQPMN2G 01,37.642688751,-1.09544003,1,nearest_fallback,9889.0,anprFlowObserved:12,LH,4.23,78,24,0,0,54,85.32,5.47,317,-0.0796,0.4826,2.05,#7c3aed
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867ae312,C/ Loma de Canteras,37.618388,-1.032256,1,nearest_fallback,3744.9,anprFlowObserved:12,HH,3.9,84,81,0,0,3,99.72,18.39,6,0.7294,0.4841,2.04,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,HL,3.9,83,3,10,70,0,98.61,18.85,30,-0.1214,0.3783,2.05,#ea580c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,HL,3.9,83,4,7,72,0,98.61,18.85,30,-0.1262,0.3768,2.03,#ea580c
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1c56,C/ Zorita,37.614798,-1.043541,1,nearest_fallback,4645.3,anprFlowObserved:12,HH,3.89,84,81,0,0,3,100.0,18.39,0,0.5219,0.4834,2.04,#b91c1c
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2466,Av. Descubrimiento de América,37.618964,-1.027056,1,nearest_fallback,3324.4,anprFlowObserved:12,HH,3.89,84,73,0,0,11,100.0,18.39,0,0.5615,0.4834,2.04,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf52a,AQPMN2G 01,37.642688751,-1.09544003,1,nearest_fallback,9889.0,anprFlowObserved:12,LH,3.85,71,23,0,0,48,85.32,5.42,317,-0.0755,0.4858,1.9,#7c3aed
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1c56,C/ Zorita,37.614798,-1.043541,1,nearest_fallback,4645.3,anprFlowObserved:12,HH,3.8,82,80,0,0,2,100.0,18.34,0,0.5116,0.4802,2.03,#b91c1c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2466,Av. Descubrimiento de América,37.618964,-1.027056,1,nearest_fallback,3324.4,anprFlowObserved:12,HH,3.8,82,74,0,0,8,100.0,18.34,0,0.5491,0.4802,2.03,#b91c1c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867ae312,C/ Loma de Canteras,37.618388,-1.032256,1,nearest_fallback,3744.9,anprFlowObserved:12,HH,3.76,81,80,0,0,1,99.72,18.34,6,0.7171,0.4808,2.03,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,HL,3.76,80,3,7,70,0,98.61,18.81,30,-0.1191,0.3762,1.9,#ea580c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867ae312,C/ Loma de Canteras,37.618388,-1.032256,1,nearest_fallback,3744.9,anprFlowObserved:12,HH,3.72,80,79,0,0,1,99.72,18.3,6,0.7021,0.4849,2.05,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1c56,C/ Zorita,37.614798,-1.043541,1,nearest_fallback,4645.3,anprFlowObserved:12,HH,3.71,80,78,0,0,2,100.0,18.3,0,0.4979,0.484,2.05,#b91c1c
