variable,reference_variable,lag_hours,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,traffic_association_count,traffic_association_mode,traffic_association_max_distance_m,traffic_association_ids,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c200a,Aquatec - Plaza Lopez Pinto,37.604565,-0.985117,2,radius,288.5,anprFlowObserved:2|anprFlowObserved:3,HH,0.09,1,1,0,0,0,51.78,12.92,1041,-0.029,0.7688,2.04,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867be9fa,Aquatec - Calle Jorge Juan /Ciudad Jardin,37.614975,-0.992527,1,nearest_fallback,609.2,anprFlowObserved:12,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,1.9,#9ca3af
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867be9fa,Aquatec - Calle Jorge Juan /Ciudad Jardin,37.614975,-0.992527,1,nearest_fallback,609.2,anprFlowObserved:12,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.05,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867be9fa,Aquatec - Calle Jorge Juan /Ciudad Jardin,37.614975,-0.992527,1,nearest_fallback,609.2,anprFlowObserved:12,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.03,#9ca3af
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867be9fa,Aquatec - Calle Jorge Juan /Ciudad Jardin,37.614975,-0.992527,1,nearest_fallback,609.2,anprFlowObserved:12,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.04,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c200a,Aquatec - Plaza Lopez Pinto,37.604565,-0.985117,2,radius,288.5,anprFlowObserved:2|anprFlowObserved:3,no_signal,0.0,0,0,0,0,0,51.78,12.88,1041,-0.036,0.7639,2.03,#64748b
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2386,Aquatec - C/ Salitre,37.604937216,-0.988018993,4,radius,296.7,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:10|anprFlowObserved:8,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,1.9,#9ca3af
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2386,Aquatec - C/ Salitre,37.604937216,-0.988018993,4,radius,296.7,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:10|anprFlowObserved:8,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.05,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2386,Aquatec - C/ Salitre,37.604937216,-0.988018993,4,radius,296.7,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:10|anprFlowObserved:8,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.03,#9ca3af
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2386,Aquatec - C/ Salitre,37.604937216,-0.988018993,4,radius,296.7,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:10|anprFlowObserved:8,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.04,#9ca3af
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2712,Aquatec - Paseo Alfonso XII,37.5981729,-0.9797907,1,radius,25.7,anprFlowObserved:6,no_signal,0.0,0,0,0,0,0,98.61,98.61,30,,,1.9,#64748b
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2712,Aquatec - Paseo Alfonso XII,37.5981729,-0.9797907,1,radius,25.7,anprFlowObserved:6,no_signal,0.0,0,0,0,0,0,98.61,98.61,30,,,2.05,#64748b
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2712,Aquatec - Paseo Alfonso XII,37.5981729,-0.9797907,1,radius,25.7,anprFlowObserved:6,no_signal,0.0,0,0,0,0,0,98.61,98.61,30,,,2.03,#64748b
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2712,Aquatec - Paseo Alfonso XII,37.5981729,-0.9797907,1,radius,25.7,anprFlowObserved:6,no_signal,0.0,0,0,0,0,0,98.61,98.61,30,,,2.04,#64748b
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389d9b6,AQN3 - Paseo Alfonso XIII,37.606674,-0.989302,4,radius,273.9,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:11|anprFlowObserved:10,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,1.9,#9ca3af
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389d9b6,AQN3 - Paseo Alfonso XIII,37.606674,-0.989302,4,radius,273.9,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:11|anprFlowObserved:10,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.05,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389d9b6,AQN3 - Paseo Alfonso XIII,37.606674,-0.989302,4,radius,273.9,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:11|anprFlowObserved:10,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.03,#9ca3af
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389d9b6,AQN3 - Paseo Alfonso XIII,37.606674,-0.989302,4,radius,273.9,anprFlowObserved:9|anprFlowObserved:17|anprFlowObserved:11|anprFlowObserved:10,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.04,#9ca3af
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389da1e,AQ1 - BusCT,37.6032714,-0.976467,1,nearest_fallback,543.3,anprFlowObserved:4,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,1.9,#9ca3af
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389da1e,AQ1 - BusCT,37.6032714,-0.976467,1,nearest_fallback,543.3,anprFlowObserved:4,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.05,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389da1e,AQ1 - BusCT,37.6032714,-0.976467,1,nearest_fallback,543.3,anprFlowObserved:4,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.03,#9ca3af
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPa842e389da1e,AQ1 - BusCT,37.6032714,-0.976467,1,nearest_fallback,543.3,anprFlowObserved:4,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.04,#9ca3af
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1c9e,AQ2 - San Francisco,37.6019439,-0.983765,1,nearest_fallback,413.8,anprFlowObserved:8,no_signal,0.0,0,0,0,0,0,4.03,1.57,2072,1.2619,0.3566,1.9,#64748b
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1c9e,AQ2 - San Francisco,37.6019439,-0.983765,1,nearest_fallback,413.8,anprFlowObserved:8,no_signal,0.0,0,0,0,0,0,4.03,1.57,2072,1.268,0.3689,2.05,#64748b
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1c9e,AQ2 - San Francisco,37.6019439,-0.983765,1,nearest_fallback,413.8,anprFlowObserved:8,no_signal,0.0,0,0,0,0,0,4.03,1.57,2072,1.2921,0.3764,2.03,#64748b
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1cd6,AQN4 - Alameda de San Antón,37.608817,-0.992348,2,radius,173.0,anprFlowObserved:12|anprFlowObserved:11,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,1.9,#9ca3af
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1cd6,AQN4 - Alameda de San Antón,37.608817,-0.992348,2,radius,173.0,anprFlowObserved:12|anprFlowObserved:11,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.05,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1cd6,AQN4 - Alameda de San Antón,37.608817,-0.992348,2,radius,173.0,anprFlowObserved:12|anprFlowObserved:11,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.03,#9ca3af
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1cd6,AQN4 - Alameda de San Antón,37.608817,-0.992348,2,radius,173.0,anprFlowObserved:12|anprFlowObserved:11,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.04,#9ca3af
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1d4e,C/ Ciclamen,37.6122131,-1.0095078,1,nearest_fallback,1637.5,anprFlowObserved:12,no_signal,0.0,0,0,0,0,0,1.9,0.0,2118,-1.0285,0.5732,1.9,#64748b
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1d4e,C/ Ciclamen,37.6122131,-1.0095078,1,nearest_fallback,1637.5,anprFlowObserved:12,no_signal,0.0,0,0,0,0,0,1.9,0.0,2118,-1.0821,0.5829,2.05,#64748b
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1d4e,C/ Ciclamen,37.6122131,-1.0095078,1,nearest_fallback,1637.5,anprFlowObserved:12,no_signal,0.0,0,0,0,0,0,1.9,0.0,2118,-0.9403,0.6183,2.03,#64748b
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1d56,AQ1 - Puerto,37.5979347,-0.9851199,1,radius,283.5,anprFlowObserved:7,no_signal,0.0,0,0,0,0,0,4.82,4.82,2055,,,1.9,#64748b
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1d56,AQ1 - Puerto,37.5979347,-0.9851199,1,radius,283.5,anprFlowObserved:7,no_signal,0.0,0,0,0,0,0,4.82,4.82,2055,,,2.05,#64748b
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1d56,AQ1 - Puerto,37.5979347,-0.9851199,1,radius,283.5,anprFlowObserved:7,no_signal,0.0,0,0,0,0,0,4.82,4.82,2055,,,2.03,#64748b
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1d56,AQ1 - Puerto,37.5979347,-0.9851199,1,radius,283.5,anprFlowObserved:7,no_signal,0.0,0,0,0,0,0,4.82,4.82,2055,,,2.04,#64748b
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd222e,AQN5 - Av Reina Victoria,37.60998,-0.984489,2,radius,164.3,anprFlowObserved:14|anprFlowObserved:13,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,1.9,#9ca3af
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd222e,AQN5 - Av Reina Victoria,37.60998,-0.984489,2,radius,164.3,anprFlowObserved:14|anprFlowObserved:13,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.05,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd222e,AQN5 - Av Reina Victoria,37.60998,-0.984489,2,radius,164.3,anprFlowObserved:14|anprFlowObserved:13,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.03,#9ca3af
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd222e,AQN5 - Av Reina Victoria,37.60998,-0.984489,2,radius,164.3,anprFlowObserved:14|anprFlowObserved:13,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.04,#9ca3af
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2d5cb4a,"AQN6 - C. Jiménez de la Espada, 43",37.607955,-0.985688,4,radius,203.6,anprFlowObserved:16|anprFlowObserved:2|anprFlowObserved:13|anprFlowObserved:17,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,1.9,#9ca3af
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2d5cb4a,"AQN6 - C. Jiménez de la Espada, 43",37.607955,-0.985688,4,radius,203.6,anprFlowObserved:16|anprFlowObserved:2|anprFlowObserved:13|anprFlowObserved:17,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.05,#9ca3af
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2d5cb4a,"AQN6 - C. Jiménez de la Espada, 43",37.607955,-0.985688,4,radius,203.6,anprFlowObserved:16|anprFlowObserved:2|anprFlowObserved:13|anprFlowObserved:17,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.03,#9ca3af
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2d5cb4a,"AQN6 - C. Jiménez de la Espada, 43",37.607955,-0.985688,4,radius,203.6,anprFlowObserved:16|anprFlowObserved:2|anprFlowObserved:13|anprFlowObserved:17,no_data_in_window,0.0,0,0,0,0,0,0.0,0.0,2159,,,2.04,#9ca3af
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,10.19,220,166,2,0,52,100.0,18.34,0,0.1768,0.3908,1.93,#b91c1c
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,9.82,212,163,1,1,47,100.0,18.25,0,0.1835,0.3945,1.98,#b91c1c
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,9.82,212,162,1,2,47,100.0,18.3,0,0.1833,0.3936,2.2,#b91c1c
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,9.31,201,161,0,2,38,100.0,18.16,0,0.1794,0.3965,2.02,#b91c1c
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.83,169,2,4,0,163,100.0,18.3,0,-0.0331,0.5846,2.2,#7c3aed
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.78,168,1,6,0,161,100.0,18.25,0,-0.0426,0.5805,1.98,#7c3aed
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.69,166,1,5,0,160,100.0,18.34,0,-0.0259,0.577,1.93,#7c3aed
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.5,162,1,5,0,156,100.0,18.16,0,-0.0476,0.5827,2.02,#7c3aed
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867ae312,C/ Loma de Canteras,37.618388,-1.032256,1,nearest_fallback,3744.9,anprFlowObserved:12,LH,5.25,113,30,0,0,83,99.72,18.34,6,-0.1858,0.4789,2.2,#7c3aed
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf52a,AQPMN2G 01,37.642688751,-1.09544003,1,nearest_fallback,9889.0,anprFlowObserved:12,mixed,5.25,113,55,0,0,58,99.68,18.02,7,0.1717,0.4782,2.2,#0f766e
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1c56,C/ Zorita,37.614798,-1.043541,1,nearest_fallback,4645.3,anprFlowObserved:12,LH,5.23,113,30,0,0,83,100.0,18.34,0,-0.214,0.4782,2.2,#7c3aed
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2466,Av. Descubrimiento de América,37.618964,-1.027056,1,nearest_fallback,3324.4,anprFlowObserved:12,LH,5.23,113,37,0,0,76,100.0,18.34,0,-0.1346,0.4782,2.2,#7c3aed
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,4,radius,229.0,anprFlowObserved:4|anprFlowObserved:3|anprFlowObserved:15|anprFlowObserved:2,LH,5.05,109,0,2,0,107,100.0,18.34,0,-0.3016,0.6146,1.93,#7c3aed
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,2,radius,256.9,anprFlowObserved:7|anprFlowObserved:8,LL,5.0,108,0,70,38,0,100.0,31.68,0,-0.0024,0.2851,2.02,#1d4ed8
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,4,radius,229.0,anprFlowObserved:4|anprFlowObserved:3|anprFlowObserved:15|anprFlowObserved:2,LH,5.0,108,1,2,0,105,100.0,18.25,0,-0.3109,0.6135,1.98,#7c3aed
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,mixed,4.82,104,2,62,37,3,100.0,19.27,0,0.0512,0.3811,2.02,#0f766e
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,2,radius,256.9,anprFlowObserved:7|anprFlowObserved:8,LL,4.82,104,0,70,34,0,100.0,31.87,0,0.0015,0.2823,1.93,#1d4ed8
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,4,radius,229.0,anprFlowObserved:4|anprFlowObserved:3|anprFlowObserved:15|anprFlowObserved:2,LH,4.63,100,1,0,0,99,100.0,18.16,0,-0.3135,0.6137,2.02,#7c3aed
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,LL,4.49,97,0,69,23,5,100.0,19.36,0,0.053,0.378,2.2,#1d4ed8
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,LL,4.4,95,0,69,20,6,100.0,19.31,0,0.0459,0.3788,1.98,#1d4ed8
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,2,radius,256.9,anprFlowObserved:7|anprFlowObserved:8,LL,4.35,94,0,63,31,0,100.0,31.82,0,-0.0028,0.2819,2.2,#1d4ed8
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,2,radius,256.9,anprFlowObserved:7|anprFlowObserved:8,LL,4.26,92,1,57,34,0,100.0,31.77,0,-0.0024,0.2856,1.98,#1d4ed8
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,4,radius,229.0,anprFlowObserved:4|anprFlowObserved:3|anprFlowObserved:15|anprFlowObserved:2,LH,4.21,91,1,1,0,89,100.0,18.3,0,-0.3073,0.6196,2.2,#7c3aed
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,HL,4.17,90,2,33,54,1,100.0,18.99,0,-0.8352,0.3778,1.93,#ea580c
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,LL,4.12,89,2,62,23,2,100.0,19.41,0,0.0605,0.3782,1.93,#1d4ed8
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,HL,3.98,86,4,29,53,0,100.0,18.94,0,-0.7245,0.3795,2.2,#ea580c
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,mixed,3.94,85,3,37,45,0,100.0,18.81,0,-0.6283,0.3782,2.02,#0f766e
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867ae312,C/ Loma de Canteras,37.618388,-1.032256,1,nearest_fallback,3744.9,anprFlowObserved:12,LH,3.81,82,20,0,0,62,99.72,18.3,6,-0.177,0.4859,1.98,#7c3aed
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf52a,AQPMN2G 01,37.642688751,-1.09544003,1,nearest_fallback,9889.0,anprFlowObserved:12,mixed,3.81,82,35,0,0,47,99.68,17.97,7,0.1659,0.4854,1.98,#0f766e
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1c56,C/ Zorita,37.614798,-1.043541,1,nearest_fallback,4645.3,anprFlowObserved:12,LH,3.8,82,16,0,0,66,100.0,18.3,0,-0.2127,0.4854,1.98,#7c3aed
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2466,Av. Descubrimiento de América,37.618964,-1.027056,1,nearest_fallback,3324.4,anprFlowObserved:12,LH,3.8,82,20,0,0,62,100.0,18.3,0,-0.1439,0.4854,1.98,#7c3aed
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,LH,3.75,81,12,0,0,69,100.0,18.16,0,-0.3119,0.5622,2.02,#7c3aed
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c28e2,Aquatec - C/San Diego,37.60347,-0.97896,1,nearest_fallback,364.1,anprFlowObserved:4,HH,3.75,81,71,0,0,10,100.0,18.16,0,0.8767,0.5622,2.02,#b91c1c
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,1,nearest_fallback,326.7,anprFlowObserved:4,HH,3.75,81,61,0,0,20,100.0,18.16,0,0.579,0.5622,2.02,#b91c1c
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,LH,3.57,77,13,0,0,64,100.0,18.34,0,-0.3146,0.5663,1.93,#7c3aed
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c28e2,Aquatec - C/San Diego,37.60347,-0.97896,1,nearest_fallback,364.1,anprFlowObserved:4,HH,3.57,77,67,0,0,10,100.0,18.34,0,0.8236,0.5663,1.93,#b91c1c
PM10,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,1,nearest_fallback,326.7,anprFlowObserved:4,HH,3.57,77,54,0,0,23,100.0,18.34,0,0.5464,0.5663,1.93,#b91c1c
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,3,radius,264.8,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:8,HL,3.47,75,3,24,48,0,100.0,18.9,0,-0.6609,0.3818,1.98,#ea580c
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf52a,AQPMN2G 01,37.642688751,-1.09544003,1,nearest_fallback,9889.0,anprFlowObserved:12,mixed,3.35,72,32,0,0,40,99.68,17.88,7,0.1642,0.4821,2.02,#0f766e
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867ae312,C/ Loma de Canteras,37.618388,-1.032256,1,nearest_fallback,3744.9,anprFlowObserved:12,mixed,3.34,72,29,0,0,43,99.72,18.2,6,-0.1709,0.4828,2.02,#0f766e
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,LH,3.33,72,12,0,0,60,100.0,18.3,0,-0.3159,0.5627,2.2,#7c3aed
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1c56,C/ Zorita,37.614798,-1.043541,1,nearest_fallback,4645.3,anprFlowObserved:12,LH,3.33,72,18,0,0,54,100.0,18.2,0,-0.2095,0.4821,2.02,#7c3aed
PM10,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2466,Av. Descubrimiento de América,37.618964,-1.027056,1,nearest_fallback,3324.4,anprFlowObserved:12,LH,3.33,72,21,0,0,51,100.0,18.2,0,-0.1324,0.4821,2.02,#7c3aed
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c28e2,Aquatec - C/San Diego,37.60347,-0.97896,1,nearest_fallback,364.1,anprFlowObserved:4,HH,3.33,72,60,0,0,12,100.0,18.3,0,0.8353,0.5627,2.2,#b91c1c
PM10,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,1,nearest_fallback,326.7,anprFlowObserved:4,HH,3.33,72,44,0,0,28,100.0,18.3,0,0.5608,0.5627,2.2,#b91c1c
PM10,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,LH,2.83,61,10,0,0,51,100.0,18.25,0,-0.314,0.564,1.98,#7c3aed
