variable,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
PM10,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,HL,0.27,6,0,0,6,0,99.91,0.0,2,-0.0021,0.6592,2.25,#ea580c
PM10,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1c9e,AQ2 - San Francisco,37.6019439,-0.983765,HL,0.14,3,0,0,3,0,7.02,0.0,2052,0.0148,0.4958,2.25,#ea580c
PM10,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2d5cb4a,"AQN6 - C. Jiménez de la Espada, 43",37.607955,-0.985688,LL,0.09,2,0,2,0,0,10.19,0.0,1982,0.0666,0.4362,2.25,#1d4ed8
PM10,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c249e,Aquatec - C/ Jimenez de la Espada,37.60783,-0.99,no_signal,0.0,0,0,0,0,0,0.0,0.0,2207,,,2.25,#64748b
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,LL,9.56,211,0,130,5,76,99.91,0.0,2,0.2276,0.2991,2.17,#1d4ed8
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,HL,6.21,137,6,0,129,2,100.0,0.0,0,-0.1871,0.5022,2.17,#ea580c
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c200a,Aquatec - Plaza Lopez Pinto,37.604565,-0.985117,HL,5.48,121,0,4,116,1,36.84,0.0,1394,-0.3663,0.3982,2.17,#ea580c
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,LL,3.62,80,0,74,1,5,100.0,0.0,0,0.3636,0.3349,2.17,#1d4ed8
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,mixed,1.81,40,20,1,1,18,99.95,0.0,1,0.0534,0.4608,2.17,#0f766e
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,LH,1.68,37,5,0,0,32,100.0,0.0,0,-0.1182,0.4728,2.17,#7c3aed
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,HL,1.22,27,0,1,26,0,99.95,0.0,1,-0.1104,0.554,2.17,#ea580c
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,mixed,0.82,18,3,6,0,9,100.0,0.0,0,-0.0165,0.5614,2.17,#0f766e
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2386,Aquatec - C/ Salitre,37.604937216,-0.988018993,mixed,0.68,15,6,0,1,8,92.52,0.0,165,0.019,0.5519,2.17,#0f766e
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,mixed,0.45,10,5,0,5,0,100.0,0.0,0,-0.0518,0.6459,2.17,#0f766e
